fuel_type,aspiration,num_of_doors,body,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine,cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,rpm_peak,city_mpg,highway_mpg,price
1,0,1,0,2,0,88.6,168.8,64.1,48.8,2548,0,2,130,4,3.47,2.68,9.0,111.0,5000.0,21,27,13495
1,0,1,0,2,0,88.6,168.8,64.1,48.8,2548,0,2,130,4,3.47,2.68,9.0,111.0,5000.0,21,27,16500
1,0,1,2,2,0,94.5,171.2,65.5,52.4,2823,4,3,152,4,2.68,3.47,9.0,154.0,5000.0,19,26,16500
1,0,0,3,1,0,99.8,176.6,66.2,54.3,2337,2,2,109,4,3.19,3.4,10.0,102.0,5500.0,24,30,13950
1,0,0,3,0,0,99.4,176.6,66.4,54.3,2824,2,1,136,4,3.19,3.4,8.0,115.0,5500.0,18,22,17450
1,0,1,3,1,0,99.8,177.3,66.3,53.1,2507,2,1,136,4,3.19,3.4,8.5,110.0,5500.0,19,25,15250
1,0,0,3,1,0,105.8,192.7,71.4,55.7,2844,2,1,136,4,3.19,3.4,8.5,110.0,5500.0,19,25,17710
1,0,0,4,1,0,105.8,192.7,71.4,55.7,2954,2,1,136,4,3.19,3.4,8.5,110.0,5500.0,19,25,18920
1,1,0,3,1,0,105.8,192.7,71.4,55.9,3086,2,1,131,4,3.13,3.4,8.3,140.0,5500.0,17,20,23875
1,0,1,3,2,0,101.2,176.8,64.8,54.3,2395,2,2,108,4,3.5,2.8,8.8,101.0,5800.0,23,29,16430
1,0,0,3,2,0,101.2,176.8,64.8,54.3,2395,2,2,108,4,3.5,2.8,8.8,101.0,5800.0,23,29,16925
1,0,1,3,2,0,101.2,176.8,64.8,54.3,2710,2,3,164,4,3.31,3.19,9.0,121.0,4250.0,21,28,20970
1,0,0,3,2,0,101.2,176.8,64.8,54.3,2765,2,3,164,4,3.31,3.19,9.0,121.0,4250.0,21,28,21105
1,0,0,3,2,0,103.5,189.0,66.9,55.7,3055,2,3,164,4,3.31,3.19,9.0,121.0,4250.0,20,25,24565
1,0,0,3,2,0,103.5,189.0,66.9,55.7,3230,2,3,209,4,3.62,3.39,8.0,182.0,5400.0,16,22,30760
1,0,1,3,2,0,103.5,193.8,67.9,53.7,3380,2,3,209,4,3.62,3.39,8.0,182.0,5400.0,16,22,41315
1,0,0,3,2,0,110.0,197.0,70.9,56.3,3505,2,3,209,4,3.62,3.39,8.0,182.0,5400.0,15,20,36880
1,0,1,2,1,0,88.4,141.1,60.3,53.2,1488,1,4,61,1,2.91,3.03,9.5,48.0,5100.0,47,53,5151
1,0,1,2,1,0,94.5,155.9,63.6,52.0,1874,2,2,90,1,3.03,3.11,9.6,70.0,5400.0,38,43,6295
1,0,0,3,1,0,94.5,158.8,63.6,52.0,1909,2,2,90,1,3.03,3.11,9.6,70.0,5400.0,38,43,6575
1,0,1,2,1,0,93.7,157.3,63.8,50.8,1876,2,2,90,1,2.97,3.23,9.41,68.0,5500.0,37,41,5572
1,0,1,2,1,0,93.7,157.3,63.8,50.8,1876,2,2,90,1,2.97,3.23,9.4,68.0,5500.0,31,38,6377
1,1,1,2,1,0,93.7,157.3,63.8,50.8,2128,2,2,98,4,3.03,3.39,7.6,102.0,5500.0,24,30,7957
1,0,0,2,1,0,93.7,157.3,63.8,50.6,1967,2,2,90,1,2.97,3.23,9.4,68.0,5500.0,31,38,6229
1,0,0,3,1,0,93.7,157.3,63.8,50.6,1989,2,2,90,1,2.97,3.23,9.4,68.0,5500.0,31,38,6692
1,0,0,3,1,0,93.7,157.3,63.8,50.6,1989,2,2,90,1,2.97,3.23,9.4,68.0,5500.0,31,38,7609
1,0,0,4,1,0,103.3,174.6,64.6,59.8,2535,2,2,122,1,3.34,3.46,8.5,88.0,5000.0,24,30,8921
1,1,1,2,1,0,95.9,173.2,66.3,50.2,2811,2,2,156,3,3.6,3.9,7.0,145.0,5000.0,19,24,12964
1,0,1,2,1,0,86.6,144.6,63.9,50.8,1713,2,2,92,0,2.91,3.41,9.6,58.0,4800.0,49,54,6479
1,0,1,2,1,0,86.6,144.6,63.9,50.8,1819,2,2,92,0,2.91,3.41,9.2,76.0,6000.0,31,38,6855
1,0,1,2,1,0,93.7,150.0,64.0,52.6,1837,2,2,79,0,2.91,3.07,10.1,60.0,5500.0,38,42,5399
1,0,1,2,1,0,93.7,150.0,64.0,52.6,1940,2,2,92,0,2.91,3.41,9.2,76.0,6000.0,30,34,6529
1,0,1,2,1,0,93.7,150.0,64.0,52.6,1956,2,2,92,0,2.91,3.41,9.2,76.0,6000.0,30,34,7129
1,0,0,3,1,0,96.5,163.4,64.0,54.5,2010,2,2,92,0,2.91,3.41,9.2,76.0,6000.0,30,34,7295
1,0,0,4,1,0,96.5,157.1,63.9,58.3,2024,2,2,92,0,2.92,3.41,9.2,76.0,6000.0,30,34,7295
1,0,1,2,1,0,96.5,167.5,65.2,53.3,2236,2,2,110,0,3.15,3.58,9.0,86.0,5800.0,27,33,7895
1,0,1,2,1,0,96.5,167.5,65.2,53.3,2289,2,2,110,0,3.15,3.58,9.0,86.0,5800.0,27,33,9095
1,0,0,3,1,0,96.5,175.4,65.2,54.1,2304,2,2,110,0,3.15,3.58,9.0,86.0,5800.0,27,33,8845
1,0,0,3,1,0,96.5,175.4,62.5,54.1,2372,2,2,110,0,3.15,3.58,9.0,86.0,5800.0,27,33,10295
1,0,0,3,1,0,96.5,175.4,65.2,54.1,2465,2,2,110,4,3.15,3.58,9.0,101.0,5800.0,24,28,12945
1,0,1,3,1,0,96.5,169.1,66.0,51.0,2293,2,2,110,1,3.15,3.58,9.1,100.0,5500.0,25,31,10345
1,0,0,3,2,0,94.3,170.7,61.8,53.5,2337,2,2,111,1,3.31,3.23,8.5,78.0,4800.0,24,29,6785
1,0,1,2,2,0,96.0,172.6,65.2,51.4,2734,2,2,119,6,3.43,3.23,9.2,90.0,5000.0,24,29,11048
1,0,0,3,2,0,113.0,199.6,69.6,52.8,4066,0,3,258,4,3.63,4.17,8.1,176.0,4750.0,15,19,32250
1,0,0,3,2,0,113.0,199.6,69.6,52.8,4066,0,3,258,4,3.63,4.17,8.1,176.0,4750.0,15,19,35550
1,0,1,3,2,0,102.0,191.7,70.6,47.8,3950,4,5,326,4,3.54,2.76,11.5,262.0,5000.0,13,17,36000
1,0,1,2,1,0,93.1,159.1,64.2,54.1,1890,2,2,91,1,3.03,3.15,9.0,68.0,5000.0,30,31,5195
1,0,1,2,1,0,93.1,159.1,64.2,54.1,1900,2,2,91,1,3.03,3.15,9.0,68.0,5000.0,31,38,6095
1,0,1,2,1,0,93.1,159.1,64.2,54.1,1905,2,2,91,1,3.03,3.15,9.0,68.0,5000.0,31,38,6795
1,0,0,3,1,0,93.1,166.8,64.2,54.1,1945,2,2,91,1,3.03,3.15,9.0,68.0,5000.0,31,38,6695
1,0,0,3,1,0,93.1,166.8,64.2,54.1,1950,2,2,91,1,3.08,3.15,9.0,68.0,5000.0,31,38,7395
1,0,1,2,1,0,98.8,177.8,66.5,53.7,2385,2,2,122,1,3.39,3.39,8.6,84.0,4800.0,26,32,8845
1,0,0,3,1,0,98.8,177.8,66.5,55.5,2410,2,2,122,1,3.39,3.39,8.6,84.0,4800.0,26,32,8495
1,0,1,2,1,0,98.8,177.8,66.5,53.7,2385,2,2,122,1,3.39,3.39,8.6,84.0,4800.0,26,32,10595
1,0,0,3,1,0,98.8,177.8,66.5,55.5,2410,2,2,122,1,3.39,3.39,8.6,84.0,4800.0,26,32,10245
1,0,0,2,1,0,98.8,177.8,66.5,55.5,2425,2,2,122,1,3.39,3.39,8.6,84.0,4800.0,26,32,11245
1,0,0,3,2,0,104.9,175.0,66.1,54.4,2670,2,2,140,4,3.76,3.16,8.0,120.0,5000.0,19,27,18280
0,0,0,3,2,0,104.9,175.0,66.1,54.4,2700,2,2,134,2,3.43,3.64,22.0,72.0,4200.0,31,39,18344
0,1,0,3,2,0,110.0,190.9,70.3,56.5,3515,2,1,183,2,3.58,3.64,21.5,123.0,4350.0,22,25,25552
0,1,0,4,2,0,110.0,190.9,70.3,58.7,3750,2,1,183,2,3.58,3.64,21.5,123.0,4350.0,22,25,28248
0,1,1,1,2,0,106.7,187.5,70.3,54.9,3495,2,1,183,2,3.58,3.64,21.5,123.0,4350.0,22,25,28176
0,1,0,3,2,0,115.6,202.6,71.7,56.3,3770,2,1,183,2,3.58,3.64,21.5,123.0,4350.0,22,25,31600
1,0,0,3,2,0,115.6,202.6,71.7,56.5,3740,4,0,234,4,3.46,3.1,8.3,155.0,4750.0,16,18,34184
1,0,1,0,2,0,96.6,180.3,70.5,50.8,3685,4,0,234,4,3.46,3.1,8.3,155.0,4750.0,16,18,35056
1,0,0,3,2,0,120.9,208.1,71.7,56.7,3900,4,0,308,4,3.8,3.35,8.0,184.0,4500.0,14,16,40960
1,0,1,1,2,0,112.0,199.2,72.0,55.4,3715,4,0,304,4,3.8,3.35,8.0,184.0,4500.0,14,16,45400
1,1,1,2,2,0,102.7,178.4,68.0,54.8,2910,2,2,140,4,3.78,3.12,8.0,175.0,5000.0,19,24,16503
1,0,1,2,1,0,93.7,157.3,64.4,50.8,1918,2,2,92,1,2.97,3.23,9.4,68.0,5500.0,37,41,5389
1,0,1,2,1,0,93.7,157.3,64.4,50.8,1944,2,2,92,1,2.97,3.23,9.4,68.0,5500.0,31,38,6189
1,0,1,2,1,0,93.7,157.3,64.4,50.8,2004,2,2,92,1,2.97,3.23,9.4,68.0,5500.0,31,38,6669
1,1,1,2,1,0,93.0,157.3,63.8,50.8,2145,2,2,98,5,3.03,3.39,7.6,102.0,5500.0,24,30,7689
1,1,1,2,1,0,96.3,173.0,65.4,49.4,2370,2,2,110,5,3.17,3.46,7.5,116.0,5500.0,23,30,9959
1,0,1,2,1,0,96.3,173.0,65.4,49.4,2328,2,2,122,1,3.35,3.46,8.5,88.0,5000.0,25,32,8499
1,1,1,2,1,0,95.9,173.2,66.3,50.2,2833,2,2,156,5,3.58,3.86,7.0,145.0,5000.0,19,24,12629
1,1,1,2,1,0,95.9,173.2,66.3,50.2,2921,2,2,156,5,3.59,3.86,7.0,145.0,5000.0,19,24,14869
1,1,1,2,1,0,95.9,173.2,66.3,50.2,2926,2,2,156,5,3.59,3.86,7.0,145.0,5000.0,19,24,14489
1,0,0,3,1,0,96.3,172.4,65.4,51.6,2365,2,2,122,1,3.35,3.46,8.5,88.0,5000.0,25,32,6989
1,0,0,3,1,0,96.3,172.4,65.4,51.6,2405,2,2,122,1,3.35,3.46,8.5,88.0,5000.0,25,32,8189
1,1,0,3,1,0,96.3,172.4,65.4,51.6,2403,2,2,110,5,3.17,3.46,7.5,116.0,5500.0,23,30,9279
1,0,0,3,1,0,96.3,172.4,65.4,51.6,2403,2,2,110,5,3.17,3.46,7.5,116.0,5500.0,23,30,9279
1,0,1,3,1,0,94.5,165.3,63.8,54.5,1889,2,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,5499
0,0,1,3,1,0,94.5,165.3,63.8,54.5,2017,2,2,103,2,2.99,3.47,21.9,55.0,4800.0,45,50,7099
1,0,1,3,1,0,94.5,165.3,63.8,54.5,1918,2,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,6649
1,0,0,3,1,0,94.5,165.3,63.8,54.5,1938,2,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,6849
1,0,0,4,1,0,94.5,170.2,63.8,53.5,2024,2,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,7349
1,0,1,3,1,0,94.5,165.3,63.8,54.5,1951,2,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,7299
1,0,1,2,1,0,94.5,165.6,63.8,53.3,2028,2,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,7799
1,0,0,3,1,0,94.5,165.3,63.8,54.5,1971,2,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,7499
1,0,0,4,1,0,94.5,170.2,63.8,53.5,2037,2,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,7999
1,0,1,1,1,0,95.1,162.4,63.8,53.3,2008,2,2,97,1,3.15,3.29,9.4,69.0,5200.0,31,37,8249
1,0,0,2,1,0,97.2,173.4,65.2,54.7,2324,2,2,120,1,3.33,3.47,8.5,97.0,5200.0,27,34,8949
1,0,0,3,1,0,97.2,173.4,65.2,54.7,2302,2,2,120,1,3.33,3.47,8.5,97.0,5200.0,27,34,9549
1,0,0,3,1,0,100.4,181.7,66.5,55.1,3095,4,3,181,4,3.43,3.27,9.0,152.0,5200.0,17,22,13499
1,0,0,4,1,0,100.4,184.6,66.5,56.1,3296,4,3,181,4,3.43,3.27,9.0,152.0,5200.0,17,22,14399
1,0,0,3,1,0,100.4,184.6,66.5,55.1,3060,4,3,181,4,3.43,3.27,9.0,152.0,5200.0,19,25,13499
1,0,1,2,2,0,91.3,170.7,67.9,49.7,3071,4,3,181,4,3.43,3.27,9.0,160.0,5200.0,19,25,17199
1,1,1,2,2,0,91.3,170.7,67.9,49.7,3139,4,3,181,4,3.43,3.27,7.8,200.0,5200.0,17,23,19699
1,0,1,2,2,0,99.2,178.5,67.9,49.7,3139,4,3,181,4,3.43,3.27,9.0,160.0,5200.0,19,25,18399
1,0,0,3,2,0,107.9,186.7,68.4,56.7,3020,1,2,120,4,3.46,3.19,8.4,97.0,5000.0,19,24,11900
0,1,0,3,2,0,107.9,186.7,68.4,56.7,3197,1,2,152,2,3.7,3.52,21.0,95.0,4150.0,28,33,13200
1,0,0,4,2,0,114.2,198.9,68.4,58.7,3230,1,2,120,4,3.46,3.19,8.4,97.0,5000.0,19,24,12440
0,1,0,4,2,0,114.2,198.9,68.4,58.7,3430,1,2,152,2,3.7,3.52,21.0,95.0,4150.0,25,25,13860
1,0,0,3,2,0,107.9,186.7,68.4,56.7,3075,1,2,120,4,3.46,2.19,8.4,95.0,5000.0,19,24,15580
0,1,0,3,2,0,107.9,186.7,68.4,56.7,3252,1,2,152,2,3.7,3.52,21.0,95.0,4150.0,28,33,16900
1,0,0,4,2,0,114.2,198.9,68.4,56.7,3285,1,2,120,4,3.46,2.19,8.4,95.0,5000.0,19,24,16695
0,1,0,4,2,0,114.2,198.9,68.4,58.7,3485,1,2,152,2,3.7,3.52,21.0,95.0,4150.0,25,25,17075
1,0,0,3,2,0,107.9,186.7,68.4,56.7,3075,1,2,120,4,3.46,3.19,8.4,97.0,5000.0,19,24,16630
0,1,0,3,2,0,107.9,186.7,68.4,56.7,3252,1,2,152,2,3.7,3.52,21.0,95.0,4150.0,28,33,17950
1,1,0,3,2,0,108.0,186.7,68.3,56.0,3130,1,2,134,4,3.61,3.21,7.0,142.0,5600.0,18,24,18150
1,0,1,2,1,0,93.7,157.3,63.8,50.8,1918,2,2,90,1,2.97,3.23,9.4,68.0,5500.0,37,41,5572
1,1,1,2,1,0,93.7,157.3,63.8,50.8,2128,2,2,98,5,3.03,3.39,7.6,102.0,5500.0,24,30,7957
1,0,0,2,1,0,93.7,157.3,63.8,50.6,1967,2,2,90,1,2.97,3.23,9.4,68.0,5500.0,31,38,6229
1,0,0,3,1,0,93.7,167.3,63.8,50.8,1989,2,2,90,1,2.97,3.23,9.4,68.0,5500.0,31,38,6692
1,0,0,3,1,0,93.7,167.3,63.8,50.8,2191,2,2,98,1,2.97,3.23,9.4,68.0,5500.0,31,38,7609
1,0,0,4,1,0,103.3,174.6,64.6,59.8,2535,2,2,122,1,3.35,3.46,8.5,88.0,5000.0,24,30,8921
1,1,1,2,2,0,95.9,173.2,66.3,50.2,2818,2,2,156,5,3.59,3.86,7.0,145.0,5000.0,19,24,12764
1,0,1,2,2,0,94.5,168.9,68.3,50.2,2778,2,2,151,4,3.94,3.11,9.5,143.0,5500.0,19,27,22018
1,0,1,1,2,1,89.5,168.9,65.0,51.6,2756,3,3,194,4,3.74,2.9,9.5,207.0,5900.0,17,25,32528
1,0,1,1,2,1,89.5,168.9,65.0,51.6,2756,3,3,194,4,3.74,2.9,9.5,207.0,5900.0,17,25,34028
1,0,1,0,2,1,89.5,168.9,65.0,51.6,2800,3,3,194,4,3.74,2.9,9.5,207.0,5900.0,17,25,37028
1,0,1,2,1,0,99.1,186.6,66.5,56.1,2658,2,2,121,4,3.54,3.07,9.31,110.0,5250.0,21,28,11850
1,0,0,3,1,0,99.1,186.6,66.5,56.1,2695,2,2,121,4,3.54,3.07,9.3,110.0,5250.0,21,28,12170
1,0,1,2,1,0,99.1,186.6,66.5,56.1,2707,2,2,121,4,2.54,2.07,9.3,110.0,5250.0,21,28,15040
1,0,0,3,1,0,99.1,186.6,66.5,56.1,2758,2,2,121,4,3.54,3.07,9.3,110.0,5250.0,21,28,15510
1,1,1,2,1,0,99.1,186.6,66.5,56.1,2808,0,2,121,4,3.54,3.07,9.0,160.0,5500.0,19,26,18150
1,1,0,3,1,0,99.1,186.6,66.5,56.1,2847,0,2,121,4,3.54,3.07,9.0,160.0,5500.0,19,26,18620
1,0,1,2,1,0,93.7,156.9,63.4,53.7,2050,3,2,97,1,3.62,2.36,9.0,69.0,4900.0,31,36,5118
1,0,1,2,1,0,93.7,157.9,63.6,53.7,2120,3,2,108,1,3.62,2.64,8.7,73.0,4400.0,26,31,7053
1,0,1,2,0,0,93.3,157.3,63.8,55.7,2240,3,2,108,1,3.62,2.64,8.7,73.0,4400.0,26,31,7603
1,0,0,3,1,0,97.2,172.0,65.4,52.5,2145,3,2,108,1,3.62,2.64,9.5,82.0,4800.0,32,37,7126
1,0,0,3,1,0,97.2,172.0,65.4,52.5,2190,3,2,108,1,3.62,2.64,9.5,82.0,4400.0,28,33,7775
1,0,0,3,1,0,97.2,172.0,65.4,52.5,2340,3,2,108,4,3.62,2.64,9.0,94.0,5200.0,26,32,9960
1,0,0,3,0,0,97.0,172.0,65.4,54.3,2385,3,2,108,1,3.62,2.64,9.0,82.0,4800.0,24,25,9233
1,1,0,3,0,0,97.0,172.0,65.4,54.3,2510,3,2,108,4,3.62,2.64,7.7,111.0,4800.0,24,29,11259
1,0,0,4,1,0,97.0,173.5,65.4,53.0,2290,3,2,108,1,3.62,2.64,9.0,82.0,4800.0,28,32,7463
1,0,0,4,1,0,97.0,173.5,65.4,53.0,2455,3,2,108,4,3.62,2.64,9.0,94.0,5200.0,25,31,10198
1,0,0,4,0,0,96.9,173.6,65.4,54.9,2420,3,2,108,1,3.62,2.64,9.0,82.0,4800.0,23,29,8013
1,1,0,4,0,0,96.9,173.6,65.4,54.9,2650,3,2,108,4,3.62,2.64,7.7,111.0,4800.0,23,23,11694
1,0,1,2,1,0,95.7,158.7,63.6,54.5,1985,2,2,92,1,3.05,3.03,9.0,62.0,4800.0,35,39,5348
1,0,1,2,1,0,95.7,158.7,63.6,54.5,2040,2,2,92,1,3.05,3.03,9.0,62.0,4800.0,31,38,6338
1,0,0,2,1,0,95.7,158.7,63.6,54.5,2015,2,2,92,1,3.05,3.03,9.0,62.0,4800.0,31,38,6488
1,0,0,4,1,0,95.7,169.7,63.6,59.1,2280,2,2,92,1,3.05,3.03,9.0,62.0,4800.0,31,37,6918
1,0,0,4,0,0,95.7,169.7,63.6,59.1,2290,2,2,92,1,3.05,3.03,9.0,62.0,4800.0,27,32,7898
1,0,0,4,0,0,95.7,169.7,63.6,59.1,3110,2,2,92,1,3.05,3.03,9.0,62.0,4800.0,27,32,8778
1,0,0,3,1,0,95.7,166.3,64.4,53.0,2081,2,2,98,1,3.19,3.03,9.0,70.0,4800.0,30,37,6938
1,0,0,2,1,0,95.7,166.3,64.4,52.8,2109,2,2,98,1,3.19,3.03,9.0,70.0,4800.0,30,37,7198
0,0,0,3,1,0,95.7,166.3,64.4,53.0,2275,2,2,110,2,3.27,3.35,22.5,56.0,4500.0,34,36,7898
0,0,0,2,1,0,95.7,166.3,64.4,52.8,2275,2,2,110,2,3.27,3.35,22.5,56.0,4500.0,38,47,7788
1,0,0,3,1,0,95.7,166.3,64.4,53.0,2094,2,2,98,1,3.19,3.03,9.0,70.0,4800.0,38,47,7738
1,0,0,2,1,0,95.7,166.3,64.4,52.8,2122,2,2,98,1,3.19,3.03,9.0,70.0,4800.0,28,34,8358
1,0,0,3,1,0,95.7,166.3,64.4,52.8,2140,2,2,98,1,3.19,3.03,9.0,70.0,4800.0,28,34,9258
1,0,1,3,2,0,94.5,168.7,64.0,52.6,2169,2,2,98,1,3.19,3.03,9.0,70.0,4800.0,29,34,8058
1,0,1,2,2,0,94.5,168.7,64.0,52.6,2204,2,2,98,1,3.19,3.03,9.0,70.0,4800.0,29,34,8238
1,0,1,3,2,0,94.5,168.7,64.0,52.6,2265,0,2,98,4,3.24,3.08,9.4,112.0,6600.0,26,29,9298
1,0,1,2,2,0,94.5,168.7,64.0,52.6,2300,0,2,98,4,3.24,3.08,9.4,112.0,6600.0,26,29,9538
1,0,1,1,2,0,98.4,176.2,65.6,52.0,2540,2,2,146,4,3.62,3.5,9.3,116.0,4800.0,24,30,8449
1,0,1,1,2,0,98.4,176.2,65.6,52.0,2536,2,2,146,4,3.62,3.5,9.3,116.0,4800.0,24,30,9639
1,0,1,2,2,0,98.4,176.2,65.6,52.0,2551,2,2,146,4,3.62,3.5,9.3,116.0,4800.0,24,30,9989
1,0,1,1,2,0,98.4,176.2,65.6,52.0,2679,2,2,146,4,3.62,3.5,9.3,116.0,4800.0,24,30,11199
1,0,1,2,2,0,98.4,176.2,65.6,52.0,2714,2,2,146,4,3.62,3.5,9.3,116.0,4800.0,24,30,11549
1,0,1,0,2,0,98.4,176.2,65.6,53.0,2975,2,2,146,4,3.62,3.5,9.3,116.0,4800.0,24,30,17669
1,0,0,3,1,0,102.4,175.6,66.5,54.9,2326,2,2,122,4,3.31,3.54,8.7,92.0,4200.0,29,34,8948
0,1,0,3,1,0,102.4,175.6,66.5,54.9,2480,2,2,110,2,3.27,3.35,22.5,73.0,4500.0,30,33,10698
1,0,0,2,1,0,102.4,175.6,66.5,53.9,2414,2,2,122,4,3.31,3.54,8.7,92.0,4200.0,27,32,9988
1,0,0,3,1,0,102.4,175.6,66.5,54.9,2414,2,2,122,4,3.31,3.54,8.7,92.0,4200.0,27,32,10898
1,0,0,2,1,0,102.4,175.6,66.5,53.9,2458,2,2,122,4,3.31,3.54,8.7,92.0,4200.0,27,32,11248
1,0,1,2,2,0,102.9,183.5,67.7,52.0,2976,0,3,171,4,3.27,3.35,9.3,161.0,5200.0,20,24,16558
1,0,1,2,2,0,102.9,183.5,67.7,52.0,3016,0,3,171,4,3.27,3.35,9.3,161.0,5200.0,19,24,15998
1,0,0,3,2,0,104.5,187.8,66.5,54.1,3131,0,3,171,4,3.27,3.35,9.2,156.0,5200.0,20,24,15690
1,0,0,4,2,0,104.5,187.8,66.5,54.1,3151,0,3,161,4,3.27,3.35,9.2,156.0,5200.0,19,24,15750
0,0,1,3,1,0,97.3,171.7,65.5,55.7,2261,2,2,97,2,3.01,3.4,23.0,52.0,4800.0,37,46,7775
1,0,1,3,1,0,97.3,171.7,65.5,55.7,2209,2,2,109,4,3.19,3.4,9.0,85.0,5250.0,27,34,7975
0,0,0,3,1,0,97.3,171.7,65.5,55.7,2264,2,2,97,2,3.01,3.4,23.0,52.0,4800.0,37,46,7995
1,0,0,3,1,0,97.3,171.7,65.5,55.7,2212,2,2,109,4,3.19,3.4,9.0,85.0,5250.0,27,34,8195
1,0,0,3,1,0,97.3,171.7,65.5,55.7,2275,2,2,109,4,3.19,3.4,9.0,85.0,5250.0,27,34,8495
0,1,0,3,1,0,97.3,171.7,65.5,55.7,2319,2,2,97,2,3.01,3.4,23.0,68.0,4500.0,37,42,9495
1,0,0,3,1,0,97.3,171.7,65.5,55.7,2300,2,2,109,4,3.19,3.4,10.0,100.0,5500.0,26,32,9995
1,0,1,0,1,0,94.5,159.3,64.2,55.6,2254,2,2,109,4,3.19,3.4,8.5,90.0,5500.0,24,29,11595
1,0,1,2,1,0,94.5,165.7,64.0,51.4,2221,2,2,109,4,3.19,3.4,8.5,90.0,5500.0,24,29,9980
1,0,0,3,1,0,100.4,180.2,66.9,55.1,2661,2,1,136,4,3.19,3.4,8.5,110.0,5500.0,19,24,13295
0,1,0,3,1,0,100.4,180.2,66.9,55.1,2579,2,2,97,2,3.01,3.4,23.0,68.0,4500.0,33,38,13845
1,0,0,4,1,0,100.4,183.1,66.9,55.1,2563,2,2,109,4,3.19,3.4,9.0,88.0,5500.0,25,31,12290
1,0,0,3,2,0,104.3,188.8,67.2,56.2,2912,2,2,141,4,3.78,3.15,9.5,114.0,5400.0,23,28,12940
1,0,0,4,2,0,104.3,188.8,67.2,57.5,3034,2,2,141,4,3.78,3.15,9.5,114.0,5400.0,23,28,13415
1,0,0,3,2,0,104.3,188.8,67.2,56.2,2935,2,2,141,4,3.78,3.15,9.5,114.0,5400.0,24,28,15985
1,0,0,4,2,0,104.3,188.8,67.2,57.5,3042,2,2,141,4,3.78,3.15,9.5,114.0,5400.0,24,28,16515
1,1,0,3,2,0,104.3,188.8,67.2,56.2,3045,2,2,130,4,3.62,3.15,7.5,162.0,5100.0,17,22,18420
1,1,0,4,2,0,104.3,188.8,67.2,57.5,3157,2,2,130,4,3.62,3.15,7.5,162.0,5100.0,17,22,18950
1,0,0,3,2,0,109.1,188.8,68.9,55.5,2952,2,2,141,4,3.78,3.15,9.5,114.0,5400.0,23,28,16845
1,1,0,3,2,0,109.1,188.8,68.8,55.5,3049,2,2,141,4,3.78,3.15,8.7,160.0,5300.0,19,25,19045
1,0,0,3,2,0,109.1,188.8,68.9,55.5,3012,4,3,173,4,3.58,2.87,8.8,134.0,5500.0,18,23,21485
0,1,0,3,2,0,109.1,188.8,68.9,55.5,3217,2,3,145,2,3.01,3.4,23.0,106.0,4800.0,26,27,22470
1,1,0,3,2,0,109.1,188.8,68.9,55.5,3062,2,2,141,4,3.78,3.15,9.5,114.0,5400.0,19,25,22625
